"filename", "language", "YAML", "Dart", "HTML", "Properties", "C++", "JSON", "Markdown", "Groovy", "Swift", "XML", "comment", "blank", "total"
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\address_view\widgets\address_addition.dart", "Dart", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 102
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\address_view\widgets\address_body.dart", "Dart", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 83
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\address_view\widgets\address_edit.dart", "Dart", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 112
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\address_view\widgets\address_line.dart", "Dart", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 112
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\address_view\widgets\animated_address.dart", "Dart", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 116
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\address_view\widgets\google_maps.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 48
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\alert_view\alert_view.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\alert_view\widgets\alert_body.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 52
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\alert_view\widgets\alert_bottom_sheet.dart", "Dart", 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 257
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\alert_view\widgets\alert_header.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 64
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\alert_view\widgets\alert_list.dart", "Dart", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 217
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\backtest_view\backtest_view.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 64
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\backtest_view\widgets\backtest_body.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 48
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\backtest_view\widgets\backtest_header_action.dart", "Dart", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 90
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\backtest_view\widgets\backtest_header_form.dart", "Dart", 0, 291, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 308
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\backtest_view\widgets\backtest_list.dart", "Dart", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 100
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\backtest_view\widgets\backtest_list_item.dart", "Dart", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 143
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\backtest_view\widgets\backtest_result.dart", "Dart", 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 203
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\coin_view\coin_view.dart", "Dart", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\coin_view\widgets\coin_body.dart", "Dart", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 129
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\coin_view\widgets\favourite_coin.dart", "Dart", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 123
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\home_view\home_view.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\home_view\widgets\app_bar.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\home_view\widgets\home_body.dart", "Dart", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 81
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\home_view\widgets\home_line_chart_details.dart", "Dart", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 95
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\home_view\widgets\home_line_chart_slider.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\home_view\widgets\market_movement.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 66
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\home_view\widgets\market_movement_list.dart", "Dart", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 100
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\home_view\widgets\pair_board.dart", "Dart", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 143
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\home_view\widgets\search.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\language_view\language_view.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\language_view\widgets\language_body.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\login_view\login_view.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\login_view\widgets\login_body.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 87
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\login_view\widgets\login_button.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\login_view\widgets\login_form.dart", "Dart", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 84
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\notification_view\notification_view.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\notification_view\widgets\notification_body.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 52
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\orderbook_view\orderbook_view.dart", "Dart", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 85
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\orderbook_view\widgets\order_bottom_sheet.dart", "Dart", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 94
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\orderbook_view\widgets\order_filter_action.dart", "Dart", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 86
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\orderbook_view\widgets\order_header_filter.dart", "Dart", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 94
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\orderbook_view\widgets\order_list.dart", "Dart", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 99
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\orderbook_view\widgets\order_list_item_body.dart", "Dart", 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 184
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\orderbook_view\widgets\orderbook_body.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\payment_view\payment_view.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\views\payment_view\widgets\payment_body.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
